"Player Name" "1st Serve" "Break Points Saved" "Service Games Won" "2nd Srv. Return Won" "Break Points Won"
"Khumoun Sultanov" 54.3 80.0 87.5 66.7 71.4
"Ricardo Ojeda Lara" 68.5 57.5 70.7 48.1 50.0
"Yannick Mertens" 62.4 63.2 76.7 48.6 43.8
"Albano Olivetti" 57.2 66.0 83.7 41.1 23.4
"Orlando Luz" 50.7 40.0 70.0 38.5 0.0
"Harri Heliovaara" 62.2 58.5 74.6 52.3 47.1
"Markus Eriksson" 66.4 58.4 69.2 49.8 35.0
"Gerard Granollers" 66.1 46.2 51.2 49.3 40.7
"Sanjar Fayziev" 57.0 59.5 67.0 47.1 19.4
"Alexander Ward" 64.6 63.0 69.1 43.8 37.5
"Takanyi Garanganga" 61.3 53.5 71.8 47.6 43.2
"Konstantin Kravchuk" 62.0 61.1 76.0 44.2 35.5
"Louis Wessels" 71.0 46.2 66.7 40.5 33.3
"Jordi Samper Montana" 64.3 59.3 59.3 57.4 63.6
"Ivan Nedelko" 51.0 38.5 50.0 34.1 14.3
"Altug Celikbilek" 57.6 60.0 77.8 46.3 32.1
"Francisco Cerundolo" 65.8 54.5 61.5 43.5 50.0
"Riccardo Bellotti" 75.5 33.3 57.1 40.6 50.0
"Petros Chrysochos" 59.0 51.4 66.7 53.9 30.3
"Liam Caruana" 51.3 50.0 83.3 37.1 20.0
"Alexander Lazov" 66.7 45.5 25.0 45.0 50.0
"Andreas Haider Maurer" 55.8 60.4 74.8 45.1 37.0
"Daniel Altmaier" 59.5 61.8 78.3 43.0 35.0
"Evgeny Tyurnev" 51.2 16.7 37.5 51.6 16.7
"Lucas Gomez" 62.3 42.5 54.5 48.7 36.6
"Gonzalo Lama" 66.0 69.4 86.4 50.0 42.2
"Alexandar Lazarov" 52.0 52.9 64.4 53.6 26.1
"Alejandro Gomez Gb42" 49.2 65.5 61.5 37.5 50.0
